,index,Param Pair,Avg Accuracy,Standard Dev,Training Time
1085,1034,"(5, 1.9000000000000001, 0.5)",0.5249047746169649,0.004970564992676994,0.004970564992676994
1086,1261,"(7, 0.0, 0.2)",0.5245797315858816,0.010391552318250185,0.010391552318250185
1087,1052,"(6, 0.0, 0.30000000000000004)",0.5244509036065013,0.012672635408175127,0.012672635408175127
1088,855,"(5, 0.1, 0.6)",0.5244039762425932,0.010451696253365304,0.010451696253365304
1089,1082,"(6, 0.30000000000000004, 0.30000000000000004)",0.5241637305273608,0.017963214171037387,0.017963214171037387
1090,865,"(5, 0.2, 0.6)",0.5241135543685277,0.015820473356990626,0.015820473356990626
1091,1015,"(5, 1.7000000000000002, 0.6)",0.52350714469723,0.005057104865750402,0.005057104865750402
1092,955,"(5, 1.1, 0.6)",0.523497821112771,0.013580628260720413,0.013580628260720413
1093,1122,"(6, 0.7000000000000001, 0.30000000000000004)",0.523414836709621,0.011947776316120973,0.011947776316120973
1094,935,"(5, 0.9, 0.6)",0.522917247848006,0.01146595483965697,0.01146595483965697
1095,915,"(5, 0.7000000000000001, 0.6)",0.5228991739431568,0.01051147471778418,0.01051147471778418
1096,866,"(5, 0.2, 0.7000000000000001)",0.5227818731745657,0.009132600647590293,0.009132600647590293
1097,1192,"(6, 1.4000000000000001, 0.30000000000000004)",0.5221879192639017,0.014385992307229662,0.014385992307229662
1098,904,"(5, 0.6000000000000001, 0.5)",0.5221549976565174,0.013858323011038396,0.013858323011038396
1099,1079,"(6, 0.2, 1.0)",0.5221538902112091,0.025787979295620565,0.025787979295620565
1100,845,"(5, 0.0, 0.6)",0.5220014590069326,0.014410032915382709,0.014410032915382709
1101,997,"(5, 1.5, 0.8)",0.5213639593009745,0.010428883671302989,0.010428883671302989
1102,1072,"(6, 0.2, 0.30000000000000004)",0.5212720646514921,0.0062857011362749265,0.0062857011362749265
1103,945,"(5, 1.0, 0.6)",0.5207731517200529,0.00606332216376416,0.00606332216376416
1104,1950,"(10, 0.6000000000000001, 0.1)",0.5206989605171672,0.011404865642349367,0.011404865642349367
1105,1025,"(5, 1.8, 0.6)",0.5202540777696246,0.007603623369217204,0.007603623369217204
1106,2040,"(10, 1.5, 0.1)",0.52020615559431,0.009466830433049894,0.009466830433049894
1107,1069,"(6, 0.1, 1.0)",0.520161864003011,0.029332536856969602,0.029332536856969602
1108,886,"(5, 0.4, 0.7000000000000001)",0.5201289091671095,0.012597221602952567,0.012597221602952567
1109,985,"(5, 1.4000000000000001, 0.6)",0.5199888820945123,0.009467237493522752,0.009467237493522752
1110,895,"(5, 0.5, 0.6)",0.5199326320054953,0.016646297790226455,0.016646297790226455
1111,925,"(5, 0.8, 0.6)",0.5196900582937538,0.011528384305243996,0.011528384305243996
1112,926,"(5, 0.8, 0.7000000000000001)",0.5196554102410772,0.010250865964903854,0.010250865964903854
1113,885,"(5, 0.4, 0.6)",0.5195643779730884,0.008667888784471599,0.008667888784471599
1114,1970,"(10, 0.8, 0.1)",0.5195427918048006,0.011991323316091582,0.011991323316091582
1115,905,"(5, 0.6000000000000001, 0.6)",0.5195384424363351,0.013207418037174902,0.013207418037174902
1116,856,"(5, 0.1, 0.7000000000000001)",0.5195351682107214,0.010811330116354573,0.010811330116354573
1117,1930,"(10, 0.4, 0.1)",0.519339464774601,0.007148710963142536,0.007148710963142536
1118,1046,"(5, 2.0, 0.7000000000000001)",0.5191439252974236,0.011116229553168228,0.011116229553168228
1119,1112,"(6, 0.6000000000000001, 0.30000000000000004)",0.5189744743030407,0.008812726153106704,0.008812726153106704
1120,916,"(5, 0.7000000000000001, 0.7000000000000001)",0.5189115976162165,0.012324900071509907,0.012324900071509907
1121,975,"(5, 1.3, 0.6)",0.5188832967012476,0.00915007280725152,0.00915007280725152
1122,967,"(5, 1.2000000000000002, 0.8)",0.5187837525284311,0.010899324919349527,0.010899324919349527
1123,1920,"(10, 0.30000000000000004, 0.1)",0.5184622504527782,0.01133500656653629,0.01133500656653629
1124,1113,"(6, 0.6000000000000001, 0.4)",0.5184216181711516,0.009445284287766099,0.009445284287766099
1125,996,"(5, 1.5, 0.7000000000000001)",0.5183160767691776,0.011204252097687224,0.011204252097687224
1126,947,"(5, 1.0, 0.8)",0.5182207587971787,0.004820175945792868,0.004820175945792868
1127,1036,"(5, 1.9000000000000001, 0.7000000000000001)",0.5181277781592432,0.005315537387163355,0.005315537387163355
1128,1093,"(6, 0.4, 0.4)",0.5180160702452712,0.01509958849732349,0.01509958849732349
1129,2080,"(10, 1.9000000000000001, 0.1)",0.517980968163634,0.006565361103280624,0.006565361103280624
1130,1006,"(5, 1.6, 0.7000000000000001)",0.5178151812170331,0.004200141955805743,0.004200141955805743
1131,896,"(5, 0.5, 0.7000000000000001)",0.5176814869169493,0.010301296622996173,0.010301296622996173
1132,1133,"(6, 0.8, 0.4)",0.5175933773294267,0.008435084056944122,0.008435084056944122
1133,2010,"(10, 1.2000000000000002, 0.1)",0.5175815845255731,0.0082804403022264,0.0082804403022264
1134,1037,"(5, 1.9000000000000001, 0.8)",0.5173475288431406,0.007527223007904268,0.007527223007904268
1135,1123,"(6, 0.7000000000000001, 0.4)",0.5172645123722437,0.00890129199893068,0.00890129199893068
1136,1651,"(8, 1.8, 0.2)",0.517190829917819,0.011872121512324687,0.011872121512324687
