,index,Param Pair,Avg Accuracy,Standard Dev,Training Time
28,96,"(100, 5, 17)",0.7629078195929659,0.005275098998587138,0.005275098998587138
29,67,"(1000, 4, 7)",0.7629061981867518,0.0026469962319426604,0.0026469962319426604
30,131,"(1000, 7, 11)",0.7628879698142674,0.013086595565731775,0.013086595565731775
31,68,"(100, 4, 9)",0.7627471799913651,0.005333842359406781,0.005333842359406781
32,130,"(100, 7, 11)",0.7626736365355999,0.016330023307583427,0.016330023307583427
33,97,"(1000, 5, 17)",0.7625797392261208,0.0049638341300241124,0.0049638341300241124
34,128,"(100, 7, 9)",0.7624268762482385,0.01785203749825149,0.01785203749825149
35,119,"(1000, 6, 20)",0.7623746859126401,0.00690118317273447,0.00690118317273447
36,105,"(1000, 6, 5)",0.7623317830191042,0.017368984597381617,0.017368984597381617
37,136,"(100, 7, 17)",0.7619727672482021,0.005490547815675769,0.005490547815675769
38,99,"(1000, 5, 20)",0.7618114468767846,0.0035471352633377074,0.0035471352633377074
39,129,"(1000, 7, 9)",0.7617353826749358,0.014374107109693987,0.014374107109693987
40,69,"(1000, 4, 9)",0.7616329328310718,0.002430427348598464,0.002430427348598464
41,98,"(100, 5, 20)",0.7607397538668081,0.0034549282363727594,0.0034549282363727594
42,84,"(100, 5, 5)",0.7604896810376808,0.0166463369622235,0.0166463369622235
43,127,"(1000, 7, 7)",0.7603626187054664,0.01673852278798657,0.01673852278798657
44,86,"(100, 5, 7)",0.7602428487473821,0.012309636672423171,0.012309636672423171
45,65,"(1000, 4, 5)",0.7602189966889581,0.012328071268797765,0.012328071268797765
46,137,"(1000, 7, 17)",0.7601686777797659,0.007257267339367156,0.007257267339367156
47,139,"(1000, 7, 20)",0.7601289872142981,0.00543559666134234,0.00543559666134234
48,71,"(1000, 4, 11)",0.7598622712418579,0.0036871649102968086,0.0036871649102968086
49,66,"(100, 4, 7)",0.7592446283893917,0.0020127140426612587,0.0020127140426612587
50,72,"(100, 4, 13)",0.758998287793983,0.001663624128297297,0.001663624128297297
51,73,"(1000, 4, 13)",0.7588705834402907,0.0021426809940310546,0.0021426809940310546
52,45,"(1000, 3, 5)",0.7584279420440028,0.007114084196796121,0.007114084196796121
53,74,"(100, 4, 15)",0.7583594810264026,0.0026629959605742274,0.0026629959605742274
54,70,"(100, 4, 11)",0.758061239105934,0.004049238093083172,0.004049238093083172
55,104,"(100, 6, 5)",0.7580066685233277,0.020704207182971376,0.020704207182971376
56,76,"(100, 4, 17)",0.757268358929692,0.005514110200237011,0.005514110200237011
57,138,"(100, 7, 20)",0.7571574491722466,0.009332242047970955,0.009332242047970955
58,75,"(1000, 4, 15)",0.757154691667155,0.0029125393611343195,0.0029125393611343195
59,151,"(1000, 8, 11)",0.7568202222035779,0.011578355320185574,0.011578355320185574
60,64,"(100, 4, 5)",0.7565424568401864,0.012915783597655129,0.012915783597655129
61,77,"(1000, 4, 17)",0.7563531673225433,0.0024938504797327775,0.0024938504797327775
62,46,"(100, 3, 7)",0.7563331794250122,0.004827962799120146,0.004827962799120146
63,78,"(100, 4, 20)",0.756101317146284,0.004872269127327624,0.004872269127327624
64,149,"(1000, 8, 9)",0.7560177727670487,0.011722355292691014,0.011722355292691014
65,153,"(1000, 8, 13)",0.7558443590322083,0.012350987032856421,0.012350987032856421
66,79,"(1000, 4, 20)",0.7557045943107644,0.005855845038784081,0.005855845038784081
67,50,"(100, 3, 11)",0.7549823443327279,0.007773048173840037,0.007773048173840037
68,152,"(100, 8, 13)",0.7546484720378913,0.013537450535345653,0.013537450535345653
69,156,"(100, 8, 17)",0.7546247168433362,0.011074462903734122,0.011074462903734122
70,155,"(1000, 8, 15)",0.7545808667394146,0.012338064614647704,0.012338064614647704
71,124,"(100, 7, 5)",0.7545316278248808,0.013543452890097635,0.013543452890097635
72,47,"(1000, 3, 7)",0.7544037846447212,0.005808765310930653,0.005808765310930653
73,158,"(100, 8, 20)",0.7540033074889005,0.010168035181515917,0.010168035181515917
74,125,"(1000, 7, 5)",0.7536076052378273,0.01673322098142741,0.01673322098142741
75,49,"(1000, 3, 9)",0.7534864729072424,0.004923152662267761,0.004923152662267761
76,150,"(100, 8, 11)",0.7533311616405864,0.012245762920389614,0.012245762920389614
77,55,"(1000, 3, 15)",0.753181133901361,0.0043712702793396,0.0043712702793396
78,57,"(1000, 3, 17)",0.7531433182100256,0.003275239563079213,0.003275239563079213
79,51,"(1000, 3, 11)",0.752999712191339,0.0024904897445152847,0.0024904897445152847
80,154,"(100, 8, 15)",0.7524067552526407,0.007689562346718287,0.007689562346718287
81,147,"(1000, 8, 7)",0.7523949036471282,0.014495332919401896,0.014495332919401896
82,48,"(100, 3, 9)",0.7522432351683807,0.005686601176630821,0.005686601176630821
83,52,"(100, 3, 13)",0.7520544490443133,0.004414638429688429,0.004414638429688429
84,53,"(1000, 3, 13)",0.7520282300240244,0.0042085055632053,0.0042085055632053
85,148,"(100, 8, 9)",0.7520255819614787,0.014727355106309275,0.014727355106309275
86,157,"(1000, 8, 17)",0.7518585881476292,0.010896281623343258,0.010896281623343258
87,56,"(100, 3, 17)",0.7517905530925353,0.0041524578652639395,0.0041524578652639395
88,58,"(100, 3, 20)",0.7517612857717457,0.0036121738236880273,0.0036121738236880273
89,59,"(1000, 3, 20)",0.7517571611880791,0.003842186878411492,0.003842186878411492
90,159,"(1000, 8, 20)",0.7510413522631787,0.012272320812409372,0.012272320812409372
91,83,"(1000, 5, 3)",0.7503098751897976,0.02547239086778583,0.02547239086778583
92,54,"(100, 3, 15)",0.7498659056964714,0.0036307047431984514,0.0036307047431984514
93,44,"(100, 3, 5)",0.7497708828049887,0.008993270353897657,0.008993270353897657
94,29,"(1000, 2, 9)",0.7496916304786889,0.0035347162797674516,0.0035347162797674516
95,31,"(1000, 2, 11)",0.7496524394975055,0.003387987856865059,0.003387987856865059
96,146,"(100, 8, 7)",0.7494012920650922,0.017535986014706226,0.017535986014706226
97,103,"(1000, 6, 3)",0.748735836847327,0.02273120785325192,0.02273120785325192
98,25,"(1000, 2, 5)",0.7485935176609344,0.005893471269737754,0.005893471269737754
99,30,"(100, 2, 11)",0.7484032279318603,0.004076652281468962,0.004076652281468962
100,26,"(100, 2, 7)",0.7483499268068012,0.005442206299372693,0.005442206299372693
101,28,"(100, 2, 9)",0.7483196882691481,0.0036875658492642413,0.0036875658492642413
102,27,"(1000, 2, 7)",0.7482891139004075,0.002973141676102136,0.002973141676102136
103,82,"(100, 5, 3)",0.7477451059565485,0.027717359449698963,0.027717359449698963
104,33,"(1000, 2, 13)",0.7475168138481882,0.0029206186871602044,0.0029206186871602044
105,62,"(100, 4, 3)",0.746432623920915,0.03590159359788616,0.03590159359788616
106,32,"(100, 2, 13)",0.7463749005938085,0.004478410264704009,0.004478410264704009
107,102,"(100, 6, 3)",0.7459719327187917,0.016928001079903547,0.016928001079903547
108,63,"(1000, 4, 3)",0.7453560723064129,0.025434974534269694,0.025434974534269694
109,177,"(1000, 9, 17)",0.7449926801945502,0.022372606469149046,0.022372606469149046
110,35,"(1000, 2, 15)",0.7447089725136805,0.003805895427713177,0.003805895427713177
111,37,"(1000, 2, 17)",0.7442053546544264,0.003507598432292104,0.003507598432292104
112,174,"(100, 9, 15)",0.744132263505885,0.016989790154498988,0.016989790154498988
113,39,"(1000, 2, 20)",0.7436604339152912,0.004238507799313276,0.004238507799313276
114,179,"(1000, 9, 20)",0.743512268910001,0.015324371390494154,0.015324371390494154
115,34,"(100, 2, 15)",0.7430037246022714,0.004355740471251577,0.004355740471251577
116,36,"(100, 2, 17)",0.7429945441404714,0.004152496111380784,0.004152496111380784
117,43,"(1000, 3, 3)",0.74284804531323,0.029980487746947174,0.029980487746947174
118,42,"(100, 3, 3)",0.7424175375404033,0.027923258259898505,0.027923258259898505
119,175,"(1000, 9, 15)",0.7423110229368595,0.01794610549927504,0.01794610549927504
120,38,"(100, 2, 20)",0.7418242666518242,0.002915932896881782,0.002915932896881782
121,172,"(100, 9, 13)",0.7417421358513133,0.017297401658299176,0.017297401658299176
122,170,"(100, 9, 11)",0.7412103193233612,0.01395424316727252,0.01395424316727252
123,173,"(1000, 9, 13)",0.7405758143153403,0.01605196665936716,0.01605196665936716
124,15,"(1000, 1, 15)",0.7405728910839251,0.0006683268684974919,0.0006683268684974919
125,10,"(100, 1, 11)",0.7402365523485978,0.00318251167955338,0.00318251167955338
126,176,"(100, 9, 17)",0.7402058090007508,0.018990394394087923,0.018990394394087923
127,24,"(100, 2, 5)",0.7400093511523607,0.016646647668178496,0.016646647668178496
128,171,"(1000, 9, 11)",0.7399738653543719,0.01657072208793638,0.01657072208793638
129,6,"(100, 1, 7)",0.7394255012539135,0.004617026153406955,0.004617026153406955
130,12,"(100, 1, 13)",0.7393569902214387,0.002943849140337724,0.002943849140337724
131,14,"(100, 1, 15)",0.739103250459259,0.00448452486618372,0.00448452486618372
132,13,"(1000, 1, 13)",0.7384281756647482,0.0016376365574159604,0.0016376365574159604
133,9,"(1000, 1, 9)",0.7382608956600645,0.0035481061199847757,0.0035481061199847757
